id	camera	light_color	cube_id	cube_color	video_file_name	picture_file_name	block_file_name	block_position
0	1	WARM	1	R	IMG_4337.MOV	0.png	0.png	UL
1	1	WARM	1	R	IMG_4337.MOV	0.png	1.png	UM
2	1	WARM	1	R	IMG_4337.MOV	0.png	2.png	UR
3	1	WARM	1	R	IMG_4337.MOV	0.png	3.png	ML
4	1	WARM	1	R	IMG_4337.MOV	0.png	4.png	MM
5	1	WARM	1	R	IMG_4337.MOV	0.png	5.png	MR
6	1	WARM	1	R	IMG_4337.MOV	0.png	6.png	DL
7	1	WARM	1	R	IMG_4337.MOV	0.png	7.png	DM
8	1	WARM	1	R	IMG_4337.MOV	0.png	8.png	DR
9	1	WARM	1	R	IMG_4337.MOV	1.png	9.png	UL
10	1	WARM	1	R	IMG_4337.MOV	1.png	10.png	UM
11	1	WARM	1	R	IMG_4337.MOV	1.png	11.png	UR
12	1	WARM	1	R	IMG_4337.MOV	1.png	12.png	ML
13	1	WARM	1	R	IMG_4337.MOV	1.png	13.png	MM
14	1	WARM	1	R	IMG_4337.MOV	1.png	14.png	MR
15	1	WARM	1	R	IMG_4337.MOV	1.png	15.png	DL
16	1	WARM	1	R	IMG_4337.MOV	1.png	16.png	DM
17	1	WARM	1	R	IMG_4337.MOV	1.png	17.png	DR
18	1	WARM	1	R	IMG_4337.MOV	2.png	18.png	UL
19	1	WARM	1	R	IMG_4337.MOV	2.png	19.png	UM
20	1	WARM	1	R	IMG_4337.MOV	2.png	20.png	UR
21	1	WARM	1	R	IMG_4337.MOV	2.png	21.png	ML
22	1	WARM	1	R	IMG_4337.MOV	2.png	22.png	MM
23	1	WARM	1	R	IMG_4337.MOV	2.png	23.png	MR
24	1	WARM	1	R	IMG_4337.MOV	2.png	24.png	DL
25	1	WARM	1	R	IMG_4337.MOV	2.png	25.png	DM
26	1	WARM	1	R	IMG_4337.MOV	2.png	26.png	DR
27	1	WARM	1	R	IMG_4337.MOV	3.png	27.png	UL
28	1	WARM	1	R	IMG_4337.MOV	3.png	28.png	UM
29	1	WARM	1	R	IMG_4337.MOV	3.png	29.png	UR
30	1	WARM	1	R	IMG_4337.MOV	3.png	30.png	ML
31	1	WARM	1	R	IMG_4337.MOV	3.png	31.png	MM
32	1	WARM	1	R	IMG_4337.MOV	3.png	32.png	MR
33	1	WARM	1	R	IMG_4337.MOV	3.png	33.png	DL
34	1	WARM	1	R	IMG_4337.MOV	3.png	34.png	DM
35	1	WARM	1	R	IMG_4337.MOV	3.png	35.png	DR
36	1	WARM	1	R	IMG_4337.MOV	4.png	36.png	UL
37	1	WARM	1	R	IMG_4337.MOV	4.png	37.png	UM
38	1	WARM	1	R	IMG_4337.MOV	4.png	38.png	UR
39	1	WARM	1	R	IMG_4337.MOV	4.png	39.png	ML
40	1	WARM	1	R	IMG_4337.MOV	4.png	40.png	MM
41	1	WARM	1	R	IMG_4337.MOV	4.png	41.png	MR
42	1	WARM	1	R	IMG_4337.MOV	4.png	42.png	DL
43	1	WARM	1	R	IMG_4337.MOV	4.png	43.png	DM
44	1	WARM	1	R	IMG_4337.MOV	4.png	44.png	DR
45	1	WARM	1	R	IMG_4337.MOV	5.png	45.png	UL
46	1	WARM	1	R	IMG_4337.MOV	5.png	46.png	UM
47	1	WARM	1	R	IMG_4337.MOV	5.png	47.png	UR
48	1	WARM	1	R	IMG_4337.MOV	5.png	48.png	ML
49	1	WARM	1	R	IMG_4337.MOV	5.png	49.png	MM
50	1	WARM	1	R	IMG_4337.MOV	5.png	50.png	MR
51	1	WARM	1	R	IMG_4337.MOV	5.png	51.png	DL
52	1	WARM	1	R	IMG_4337.MOV	5.png	52.png	DM
53	1	WARM	1	R	IMG_4337.MOV	5.png	53.png	DR
54	1	WARM	1	R	IMG_4337.MOV	6.png	54.png	UL
55	1	WARM	1	R	IMG_4337.MOV	6.png	55.png	UM
56	1	WARM	1	R	IMG_4337.MOV	6.png	56.png	UR
57	1	WARM	1	R	IMG_4337.MOV	6.png	57.png	ML
58	1	WARM	1	R	IMG_4337.MOV	6.png	58.png	MM
59	1	WARM	1	R	IMG_4337.MOV	6.png	59.png	MR
60	1	WARM	1	R	IMG_4337.MOV	6.png	60.png	DL
61	1	WARM	1	R	IMG_4337.MOV	6.png	61.png	DM
62	1	WARM	1	R	IMG_4337.MOV	6.png	62.png	DR
63	1	WARM	1	R	IMG_4337.MOV	7.png	63.png	UL
64	1	WARM	1	R	IMG_4337.MOV	7.png	64.png	UM
65	1	WARM	1	R	IMG_4337.MOV	7.png	65.png	UR
66	1	WARM	1	R	IMG_4337.MOV	7.png	66.png	ML
67	1	WARM	1	R	IMG_4337.MOV	7.png	67.png	MM
68	1	WARM	1	R	IMG_4337.MOV	7.png	68.png	MR
69	1	WARM	1	R	IMG_4337.MOV	7.png	69.png	DL
70	1	WARM	1	R	IMG_4337.MOV	7.png	70.png	DM
71	1	WARM	1	R	IMG_4337.MOV	7.png	71.png	DR
72	1	WARM	1	R	IMG_4337.MOV	8.png	72.png	UL
73	1	WARM	1	R	IMG_4337.MOV	8.png	73.png	UM
74	1	WARM	1	R	IMG_4337.MOV	8.png	74.png	UR
75	1	WARM	1	R	IMG_4337.MOV	8.png	75.png	ML
76	1	WARM	1	R	IMG_4337.MOV	8.png	76.png	MM
77	1	WARM	1	R	IMG_4337.MOV	8.png	77.png	MR
78	1	WARM	1	R	IMG_4337.MOV	8.png	78.png	DL
79	1	WARM	1	R	IMG_4337.MOV	8.png	79.png	DM
80	1	WARM	1	R	IMG_4337.MOV	8.png	80.png	DR
